ts,open,high,low,close,volume
1741517100,35296000.0,35296000.0,35180000.0,35184000.0,4.34400937
1741518000,35181000.0,35276000.0,35180000.0,35213000.0,2.28652634
1741518900,35267000.0,35347000.0,35250000.0,35291000.0,2.78927932
1741519800,35312000.0,35388000.0,35259000.0,35360000.0,3.32619284
1741520700,35360000.0,35450000.0,35343000.0,35450000.0,4.94025412
1741521600,35450000.0,35503000.0,35253000.0,35305000.0,10.19517667
1741522500,35294000.0,35454000.0,35294000.0,35372000.0,2.58648973
1741523400,35390000.0,35401000.0,35355000.0,35401000.0,1.18341011
1741524300,35401000.0,35401000.0,35387000.0,35397000.0,1.80870162
1741525200,35397000.0,35510000.0,35166000.0,35166000.0,20.83113069
1741526100,35166000.0,35268000.0,35075000.0,35239000.0,13.58728808
1741527000,35178000.0,35216000.0,35069000.0,35094000.0,14.81686738
1741527900,35095000.0,35096000.0,34750000.0,34751000.0,25.69996513
1741528800,34729000.0,34836000.0,34634000.0,34672000.0,35.97623757
1741529700,34672000.0,34757000.0,34633000.0,34735000.0,22.17823106
1741530600,34748000.0,34950000.0,34700000.0,34700000.0,27.81992322
1741531500,34680000.0,34776000.0,34600000.0,34767000.0,19.40230248
1741532400,34767000.0,34847000.0,34744000.0,34829000.0,9.26726163
1741533300,34847000.0,34847000.0,34614000.0,34716000.0,8.34171573
1741534200,34729000.0,34729000.0,34579000.0,34601000.0,8.5497253
1741535100,34600000.0,34600000.0,34337000.0,34438000.0,25.99699718
1741536000,34438000.0,34570000.0,34257000.0,34520000.0,22.49078619
1741536900,34520000.0,34612000.0,34321000.0,34324000.0,22.12499141
1741537800,34338000.0,34344000.0,34050000.0,34249000.0,23.69306317
1741538700,34258000.0,34258000.0,33817000.0,33817000.0,52.05366689
1741539600,33817000.0,33964000.0,33627000.0,33746000.0,26.13808546
1741540500,33734000.0,33786000.0,33434000.0,33452000.0,27.25576337
1741541400,33452000.0,33550000.0,33350000.0,33350000.0,19.24350129
1741542300,33333000.0,33469000.0,33248000.0,33252000.0,18.06664938
1741543200,33252000.0,33469000.0,33248000.0,33382000.0,9.87405399
1741544100,33382000.0,33496000.0,33220000.0,33450000.0,13.26898801
1741545000,33465000.0,33681000.0,33234000.0,33345000.0,19.61457382
1741545900,33362000.0,33420000.0,33041000.0,33359000.0,15.60687761
1741546800,33344000.0,33448000.0,33300000.0,33393000.0,9.4948362
1741547700,33401000.0,33552000.0,33400000.0,33499000.0,1.06002012
1741548600,33508000.0,33629000.0,33500000.0,33629000.0,2.0921313
1741549500,33629000.0,33784000.0,33626000.0,33627000.0,10.98258056
1741550400,33651000.0,33810000.0,33627000.0,33810000.0,0.53539547
1741551300,33823000.0,33867000.0,33717000.0,33727000.0,8.76368933
1741552200,33768000.0,33893000.0,33742000.0,33819000.0,4.31499409
1741553100,33819000.0,33836000.0,33717000.0,33836000.0,3.23339972
1741554000,33752000.0,33831000.0,33542000.0,33604000.0,6.01359165
1741554900,33603000.0,33642000.0,33333000.0,33428000.0,4.23872964
1741555800,33456000.0,33462000.0,33329000.0,33420000.0,12.57084215
1741556700,33434000.0,33534000.0,33313000.0,33405000.0,1.38872475
1741557600,33407000.0,33407000.0,33355000.0,33355000.0,2.61732436
1741558500,33355000.0,33405000.0,33201000.0,33201000.0,6.57876137
1741559400,33222000.0,33530000.0,33210000.0,33468000.0,3.57620361
1741560300,33457000.0,33462000.0,33250000.0,33250000.0,8.00665426
1741561200,33278000.0,33418000.0,33018000.0,33307000.0,9.1152228
1741562100,33307000.0,33520000.0,33307000.0,33383000.0,3.30496257
1741563000,33382000.0,33452000.0,33300000.0,33306000.0,1.69504168
1741563900,33306000.0,33395000.0,33200000.0,33395000.0,11.93530113
1741564800,33396000.0,33571000.0,33395000.0,33412000.0,11.52046712
1741565700,33412000.0,33412000.0,33210000.0,33269000.0,4.73973199
1741566600,33235000.0,33503000.0,33018000.0,33503000.0,8.4606882
1741567500,33500000.0,33689000.0,33450000.0,33570000.0,5.71820462
1741568400,33590000.0,33752000.0,33539000.0,33539000.0,9.57385768
1741569300,33540000.0,33540000.0,33421000.0,33506000.0,9.22245623
1741570200,33506000.0,33590000.0,33506000.0,33542000.0,7.20432841
1741571100,33542000.0,33557000.0,33500000.0,33516000.0,7.35693713
1741572000,33516000.0,33594000.0,33513000.0,33594000.0,2.9438961
1741572900,33594000.0,33825000.0,33594000.0,33782000.0,7.46624165
1741573800,33782000.0,33899000.0,33730000.0,33831000.0,9.27717865
1741574700,33831000.0,33864000.0,33732000.0,33733000.0,3.09567345
1741575600,33733000.0,33765000.0,33647000.0,33655000.0,1.88842621
1741576500,33656000.0,33658000.0,33588000.0,33623000.0,2.0805029
1741577400,33614000.0,33827000.0,33588000.0,33806000.0,8.00005832
1741578300,33825000.0,33897000.0,33822000.0,33825000.0,2.07966646
1741579200,33823000.0,34000000.0,33822000.0,33952000.0,3.4705184
1741580100,33964000.0,34068000.0,33950000.0,34008000.0,6.85966504
1741581000,33957000.0,34008000.0,33899000.0,33932000.0,2.00921406
1741581900,33933000.0,34041000.0,33932000.0,34039000.0,4.28960345
1741582800,34039000.0,34041000.0,34000000.0,34000000.0,11.47354841
1741583700,34001000.0,34061000.0,33985000.0,34017000.0,8.44633291
1741584600,34018000.0,34018000.0,33986000.0,33986000.0,5.47741259
1741585500,33987000.0,33987000.0,33887000.0,33936000.0,6.12994894
1741586400,33936000.0,33936000.0,33863000.0,33865000.0,1.34563572
1741587300,33865000.0,33887000.0,33842000.0,33843000.0,2.47659555
1741588200,33843000.0,33886000.0,33752000.0,33785000.0,2.98327681
1741589100,33801000.0,33947000.0,33801000.0,33922000.0,5.66476463
1741590000,33922000.0,34136000.0,33922000.0,33982000.0,1.65209121
1741590900,33946000.0,34047000.0,33939000.0,33939000.0,1.28930065
1741591800,33939000.0,34000000.0,33939000.0,34000000.0,1.62081212
1741592700,34000000.0,34050000.0,33995000.0,34050000.0,1.20778156
1741593600,34050000.0,34050000.0,33993000.0,34036000.0,2.87889488
1741594500,34036000.0,34045000.0,33943000.0,33979000.0,4.13641738
1741595400,33989000.0,33989000.0,33651000.0,33821000.0,10.97475444
1741596300,33796000.0,34020000.0,33796000.0,33905000.0,10.28750301
1741597200,33904000.0,34200000.0,33904000.0,34200000.0,3.3515402
1741598100,34200000.0,35250000.0,34200000.0,34847000.0,14.16319992
1741599000,34855000.0,34855000.0,34547000.0,34640000.0,7.44103435
1741599900,34680000.0,34720000.0,34379000.0,34445000.0,4.71997147
1741600800,34444000.0,34551000.0,34421000.0,34421000.0,3.42660235
1741601700,34410000.0,34410000.0,34200000.0,34200000.0,9.65707198
1741602600,34201000.0,34347000.0,34200000.0,34312000.0,3.57246696
1741603500,34261000.0,34510000.0,34261000.0,34479000.0,2.09534646
1741604400,34511000.0,34574000.0,34479000.0,34556000.0,1.52622022
1741605300,34538000.0,34728000.0,34519000.0,34702000.0,4.82842019
1741606200,34702000.0,34861000.0,34610000.0,34774000.0,3.09909604
1741607100,34757000.0,35100000.0,34746000.0,34990000.0,3.94991929
1741608000,34959000.0,34995000.0,34765000.0,34765000.0,8.98016246
1741608900,34791000.0,34868000.0,34617000.0,34619000.0,7.99259389
1741609800,34669000.0,34893000.0,34550000.0,34799000.0,5.19166127
1741610700,34871000.0,34917000.0,34728000.0,34899000.0,0.99961524
1741611600,34875000.0,34945000.0,34789000.0,34821000.0,2.09273243
1741612500,34826000.0,34880000.0,34667000.0,34692000.0,2.23429707
1741613400,34692000.0,34692000.0,34300000.0,34512000.0,5.0455164
1741614300,34513000.0,34535000.0,34161000.0,34161000.0,2.40064866
1741615200,34200000.0,34200000.0,33583000.0,33588000.0,7.20741159
1741616100,33588000.0,33588000.0,33064000.0,33221000.0,38.71094684
1741617000,33221000.0,33371000.0,33018000.0,33077000.0,10.57569973
1741617900,33078000.0,33245000.0,33000000.0,33130000.0,46.18422303
1741618800,33200000.0,33589000.0,33179000.0,33442000.0,1.97795599
1741619700,33408000.0,33408000.0,33200000.0,33283000.0,3.6386419
1741620600,33269000.0,33615000.0,33269000.0,33332000.0,18.37489839
1741621500,33342000.0,33567000.0,33300000.0,33300000.0,1.08314159
1741622400,33277000.0,33277000.0,33027000.0,33091000.0,6.42227364
1741623300,33186000.0,33186000.0,33000000.0,33110000.0,18.64121524
1741624200,33134000.0,33248000.0,33110000.0,33150000.0,1.9055943
1741625100,33169000.0,33169000.0,33050000.0,33068000.0,5.79765173
1741626000,33059000.0,33059000.0,32000000.0,32066000.0,65.83452731
1741626900,32065000.0,32479000.0,32065000.0,32250000.0,15.41482814
1741627800,32256000.0,32256000.0,31682000.0,31797000.0,24.10595356
1741628700,31797000.0,31818000.0,31501000.0,31583000.0,23.43359267
1741629600,31621000.0,31806000.0,31509000.0,31750000.0,21.55029064
1741630500,31761000.0,31806000.0,31427000.0,31427000.0,7.83881994
1741631400,31448000.0,31613000.0,31187000.0,31351000.0,9.71447731
1741632300,31416000.0,31416000.0,30070000.0,30070000.0,41.85603109
1741633200,30062000.0,30507000.0,30000000.0,30507000.0,21.31159663
1741634100,30587000.0,30721000.0,30463000.0,30594000.0,26.58591739
1741635000,30594000.0,30996000.0,30593000.0,30810000.0,10.32230657
1741635900,30766000.0,30826000.0,30659000.0,30732000.0,8.10408865
1741636800,30791000.0,31055000.0,30703000.0,30815000.0,26.63437733
1741637700,30815000.0,30995000.0,30750000.0,30944000.0,5.93019396
1741638600,30886000.0,30891000.0,30549000.0,30598000.0,14.89105637
1741639500,30597000.0,31058000.0,30462000.0,30903000.0,9.34532547
1741640400,30882000.0,31158000.0,30752000.0,31156000.0,10.74270819
1741641300,31116000.0,31238000.0,30900000.0,31193000.0,6.08914055
1741642200,31163000.0,31381000.0,31060000.0,31230000.0,8.32500935
1741643100,31225000.0,31227000.0,31005000.0,31092000.0,7.07245612
1741644000,31100000.0,31114000.0,30853000.0,30997000.0,6.83532748
1741644900,30996000.0,30996000.0,30875000.0,30879000.0,3.28049933
1741645800,30875000.0,30936000.0,30786000.0,30864000.0,9.93577812
1741646700,30861000.0,31000000.0,30861000.0,30997000.0,1.73208813
1741647600,31000000.0,31149000.0,30998000.0,31100000.0,1.68060426
1741648500,31079000.0,31079000.0,30785000.0,30899000.0,3.78360779
1741649400,30900000.0,31150000.0,30850000.0,31149000.0,5.44443001
1741650300,31138000.0,31148000.0,30750000.0,30755000.0,7.1303633
1741651200,30722000.0,31090000.0,30691000.0,30954000.0,4.39679597
1741652100,30953000.0,30953000.0,30272000.0,30272000.0,22.69222923
1741653000,30269000.0,30309000.0,29722000.0,29971000.0,152.33173833
1741653900,29972000.0,29972000.0,29000000.0,29922000.0,56.19696346
1741654800,29800000.0,29971000.0,29307000.0,29516000.0,40.46946881
1741655700,29591000.0,29890000.0,29510000.0,29819000.0,16.89630109
1741656600,29817000.0,30320000.0,29000000.0,30320000.0,51.21895362
1741657500,30214000.0,30557000.0,30180000.0,30557000.0,15.35229383
1741658400,30633000.0,30804000.0,30633000.0,30804000.0,21.45606271
1741659300,30804000.0,30981000.0,30731000.0,30855000.0,13.31993843
1741660200,30845000.0,30845000.0,30622000.0,30694000.0,9.56421771
1741661100,30693000.0,30777000.0,30671000.0,30729000.0,14.76225097
1741662000,30721000.0,31001000.0,30700000.0,30894000.0,7.93935739
1741662900,30878000.0,30878000.0,30784000.0,30784000.0,3.22153119
1741663800,30783000.0,30864000.0,30763000.0,30777000.0,5.24478046
1741664700,30776000.0,30787000.0,30600000.0,30600000.0,6.48469216
1741665600,30600000.0,30790000.0,30530000.0,30789000.0,4.55074506
1741666500,30789000.0,30999000.0,30733000.0,30920000.0,5.86665554
1741667400,30920000.0,31034000.0,30919000.0,30919000.0,15.02348971
1741668300,30919000.0,30925000.0,30894000.0,30896000.0,4.70010752
1741669200,30904000.0,31499000.0,30896000.0,31446000.0,6.48903647
1741670100,31425000.0,31565000.0,31219000.0,31288000.0,13.60876462
1741671000,31280000.0,31280000.0,31080000.0,31172000.0,5.55426253
1741671900,31159000.0,31320000.0,31136000.0,31303000.0,3.63011016
1741672800,31297000.0,31320000.0,31240000.0,31320000.0,3.23074044
1741673700,31320000.0,31374000.0,31268000.0,31346000.0,5.22663396
1741674600,31336000.0,31336000.0,31240000.0,31240000.0,2.15898425
1741675500,31244000.0,31250000.0,31172000.0,31172000.0,3.6922938
1741676400,31136000.0,31350000.0,31093000.0,31298000.0,2.0660292
1741677300,31341000.0,31500000.0,31298000.0,31357000.0,5.4915391
1741678200,31342000.0,31468000.0,31219000.0,31379000.0,15.61813719
1741679100,31339000.0,31492000.0,31338000.0,31440000.0,4.53348293
1741680000,31373000.0,31564000.0,31322000.0,31564000.0,2.09668239
1741680900,31564000.0,31653000.0,31500000.0,31578000.0,2.83829902
1741681800,31559000.0,31635000.0,31427000.0,31427000.0,7.83804304
1741682700,31480000.0,31654000.0,31463000.0,31488000.0,11.15331515
1741683600,31463000.0,31632000.0,31457000.0,31610000.0,3.04668436
1741684500,31618000.0,31749000.0,31568000.0,31652000.0,8.36486447
1741685400,31654000.0,31803000.0,31654000.0,31740000.0,6.00218516
1741686300,31700000.0,31728000.0,31652000.0,31670000.0,2.70974155
1741687200,31666000.0,31670000.0,31583000.0,31625000.0,2.89033828
1741688100,31625000.0,31749000.0,31625000.0,31715000.0,0.59288859
1741689000,31715000.0,31799000.0,31700000.0,31766000.0,30.22791707
1741689900,31766000.0,31800000.0,31719000.0,31764000.0,6.36001683
1741690800,31731000.0,31740000.0,31550000.0,31550000.0,7.98596827
1741691700,31550000.0,31689000.0,31550000.0,31599000.0,1.30589534
1741692600,31656000.0,31700000.0,31592000.0,31700000.0,26.49294772
1741693500,31688000.0,31729000.0,31650000.0,31650000.0,11.05601365
1741694400,31650000.0,31652000.0,31050000.0,31050000.0,19.53111162
1741695300,31168000.0,31371000.0,31168000.0,31336000.0,3.52669389
1741696200,31333000.0,31354000.0,31233000.0,31309000.0,22.46054189
1741697100,31310000.0,31373000.0,31172000.0,31230000.0,8.33083996
1741698000,31221000.0,31261000.0,30845000.0,30871000.0,11.65601558
1741698900,30859000.0,32080000.0,30845000.0,31660000.0,22.46975291
1741699800,31660000.0,32017000.0,31215000.0,31558000.0,20.83009695
1741700700,31523000.0,31687000.0,31375000.0,31420000.0,13.79617977
1741701600,31421000.0,31576000.0,30869000.0,31215000.0,17.28152666
1741702500,31214000.0,31248000.0,30823000.0,30867000.0,11.29764679
1741703400,30885000.0,31000000.0,30423000.0,30610000.0,16.21559897
1741704300,30553000.0,30948000.0,30449000.0,30791000.0,12.27108511
1741705200,30785000.0,31413000.0,30772000.0,31390000.0,20.36443228
1741706100,31390000.0,31500000.0,31214000.0,31423000.0,11.96426753
1741707000,31390000.0,31569000.0,31378000.0,31558000.0,3.13089748
1741707900,31546000.0,31683000.0,31425000.0,31581000.0,5.96461092
1741708800,31579000.0,31651000.0,31296000.0,31341000.0,8.02247025
1741709700,31362000.0,31750000.0,31270000.0,31733000.0,6.96719749
1741710600,31713000.0,31850000.0,31692000.0,31812000.0,4.12054561
1741711500,31813000.0,31817000.0,31605000.0,31650000.0,2.14909145
1741712400,31649000.0,31649000.0,31525000.0,31561000.0,3.32930633
1741713300,31549000.0,31597000.0,31144000.0,31230000.0,2.64349696
1741714200,31183000.0,31359000.0,31104000.0,31307000.0,2.55269741
1741715100,31360000.0,31498000.0,31348000.0,31348000.0,0.63965886
1741716000,31349000.0,32000000.0,31349000.0,32000000.0,3.28446559
1741716900,31999000.0,32147000.0,31952000.0,32079000.0,20.6771269
1741717800,32079000.0,32144000.0,31950000.0,32136000.0,12.41667873
1741718700,32145000.0,32306000.0,32071000.0,32144000.0,2.60720646
1741719600,32187000.0,32241000.0,32030000.0,32172000.0,14.84804516
1741720500,32145000.0,32215000.0,32092000.0,32215000.0,1.95185356
1741721400,32185000.0,32227000.0,32143000.0,32171000.0,3.70979449
1741722300,32263000.0,32304000.0,32152000.0,32173000.0,2.03588473
1741723200,32173000.0,32265000.0,32143000.0,32148000.0,2.0468594
1741724100,32144000.0,32145000.0,31900000.0,31906000.0,2.63844713
1741725000,31909000.0,32028000.0,31909000.0,31964000.0,2.07150278
1741725900,31921000.0,31964000.0,31920000.0,31920000.0,2.94360423
1741726800,31929000.0,31964000.0,31920000.0,31964000.0,6.10073564
1741727700,31964000.0,32099000.0,31962000.0,32050000.0,3.13828402
1741728600,32049000.0,32068000.0,31920000.0,31922000.0,1.91216218
1741729500,31929000.0,32010000.0,31849000.0,31983000.0,3.2130167
1741730400,31988000.0,32076000.0,31960000.0,32076000.0,2.54159015
1741731300,32055000.0,32100000.0,32000000.0,32046000.0,1.60833777
1741732200,32046000.0,32046000.0,31930000.0,32002000.0,1.63109036
1741733100,32023000.0,32070000.0,32002000.0,32069000.0,1.54043997
1741734000,32046000.0,32062000.0,31797000.0,31863000.0,4.92221614
1741734900,31833000.0,31847000.0,31706000.0,31769000.0,2.92401798
1741735800,31722000.0,31781000.0,31670000.0,31736000.0,1.43723635
1741736700,31736000.0,31736000.0,31589000.0,31616000.0,1.19806285
1741737600,31691000.0,31692000.0,31559000.0,31622000.0,3.65262101
1741738500,31622000.0,31628000.0,31588000.0,31609000.0,2.39771118
1741739400,31604000.0,31740000.0,31560000.0,31560000.0,3.60106525
1741740300,31542000.0,31581000.0,31500000.0,31502000.0,1.61618833
1741741200,31514000.0,31648000.0,31502000.0,31597000.0,14.92664442
1741742100,31596000.0,31649000.0,31563000.0,31646000.0,0.68669936
1741743000,31649000.0,31649000.0,31566000.0,31649000.0,1.98719207
1741743900,31647000.0,31782000.0,31629000.0,31689000.0,2.65440072
1741744800,31689000.0,31690000.0,31452000.0,31582000.0,14.81294538
1741745700,31587000.0,31587000.0,31396000.0,31447000.0,1.70443963
1741746600,31453000.0,31454000.0,31200000.0,31201000.0,5.88967179
1741747500,31201000.0,31300000.0,31200000.0,31207000.0,2.03977816
1741748400,31216000.0,31300000.0,31205000.0,31205000.0,6.52358083
1741749300,31206000.0,31206000.0,31034000.0,31105000.0,3.80398435
1741750200,31105000.0,31109000.0,31001000.0,31034000.0,2.93109016
1741751100,31030000.0,31030000.0,30852000.0,30882000.0,9.55363485
1741752000,30890000.0,30890000.0,30677000.0,30736000.0,4.77017266
1741752900,30734000.0,30734000.0,30583000.0,30619000.0,12.14369533
1741753800,30610000.0,30646000.0,30500000.0,30591000.0,11.59484951
1741754700,30537000.0,30744000.0,30537000.0,30713000.0,2.34653084
1741755600,30713000.0,30847000.0,30646000.0,30847000.0,8.4748595
1741756500,30893000.0,30893000.0,30730000.0,30840000.0,5.58829619
1741757400,30840000.0,30951000.0,30825000.0,30906000.0,6.03697685
1741758300,30884000.0,30994000.0,30832000.0,30981000.0,1.23713888
1741759200,30955000.0,30980000.0,30795000.0,30863000.0,3.29027116
1741760100,30864000.0,30941000.0,30800000.0,30900000.0,2.67813275
1741761000,30898000.0,30957000.0,30852000.0,30896000.0,2.56215112
1741761900,30896000.0,30980000.0,30646000.0,30980000.0,6.60800129
1741762800,30964000.0,31405000.0,30940000.0,31268000.0,2.01068355
1741763700,31301000.0,31559000.0,31288000.0,31559000.0,8.46783564
1741764600,31560000.0,31587000.0,31390000.0,31390000.0,1.00619105
1741765500,31390000.0,31500000.0,31332000.0,31500000.0,1.88424754
1741766400,31500000.0,31761000.0,31470000.0,31702000.0,4.67347717
1741767300,31703000.0,31784000.0,30964000.0,31484000.0,12.70473649
1741768200,31499000.0,31750000.0,31499000.0,31669000.0,3.69777322
1741769100,31659000.0,31800000.0,31659000.0,31790000.0,6.57956157
1741770000,31757000.0,32100000.0,31307000.0,31524000.0,16.85032154
1741770900,31524000.0,31550000.0,31093000.0,31093000.0,9.84457958
1741771800,31135000.0,31370000.0,31077000.0,31338000.0,4.03099836
1741772700,31324000.0,31375000.0,31250000.0,31268000.0,3.45654513
1741773600,31268000.0,31392000.0,31138000.0,31195000.0,3.0471444
1741774500,31194000.0,31297000.0,31078000.0,31227000.0,2.92587474
1741775400,31297000.0,31297000.0,31100000.0,31213000.0,0.68807942
