ts,open,high,low,close,volume
1776258000,6220419.0,6220419.0,6220419.0,6220419.0,0.0
1776261600,6220419.0,6220419.0,6220419.0,6220419.0,0.0
1776265200,6220419.0,6220419.0,6220419.0,6220419.0,0.0
1776268800,6220419.0,6220419.0,6220419.0,6220419.0,0.0
1776272400,6220419.0,6220419.0,6220419.0,6220419.0,0.0
1776276000,6220419.0,6220419.0,6220419.0,6220419.0,0.0
1776279600,6220419.0,6220419.0,6220419.0,6220419.0,0.0
1776283200,6220419.0,6220419.0,6220419.0,6220419.0,0.0
1776286800,6220419.0,6220419.0,6220419.0,6220419.0,0.0
1776290400,6220419.0,6220419.0,6220419.0,6220419.0,0.0
1776294000,6220419.0,6220419.0,6220419.0,6220419.0,0.0
1776297600,6220419.0,6220419.0,6220419.0,6220419.0,0.0
1776301200,6220419.0,6220419.0,6220419.0,6220419.0,0.0
1776304800,6220419.0,6220419.0,6220419.0,6220419.0,0.0
1776308400,6220419.0,6220419.0,6220419.0,6220419.0,0.0
1776312000,6220419.0,6220419.0,6220419.0,6220419.0,0.0
1776315600,6220419.0,6220419.0,6220419.0,6220419.0,0.0
1776319200,6220419.0,6220419.0,6220419.0,6220419.0,0.0
1776322800,6865369.0,6865369.0,6865368.0,6865368.0,0.20318945
1776326400,6850000.0,6865369.0,6000008.0,6865369.0,0.15587929
1776330000,6865369.0,6865369.0,6000021.0,6750000.0,0.16758992
1776333600,6000557.0,6750000.0,6000557.0,6750000.0,0.03664668
1776337200,6750000.0,6858076.0,6010800.0,6840140.0,0.13426046
1776340800,6840120.0,6840139.0,6015980.0,6840139.0,0.03355787
1776344400,6840139.0,6865369.0,6017960.0,6496685.0,1.55468164
1776348000,6664000.0,6840000.0,6553526.0,6840000.0,0.25597157
1776351600,6705204.0,6766049.0,6598080.0,6766049.0,0.27806116
1776355200,6616991.0,6840000.0,6615000.0,6757549.0,0.24556648
1776358800,6751522.0,6751522.0,6735874.0,6735874.0,0.2385943
1776362400,6615001.0,6615001.0,6615000.0,6615000.0,0.22404014
1776366000,6732441.0,6840000.0,6615000.0,6615000.0,0.26297275
1776369600,6757938.0,7100000.0,6757938.0,7100000.0,0.23622238
1776373200,6725836.0,7100000.0,6725836.0,6725836.0,0.00815694
1776376800,6729488.0,7100000.0,6615000.0,6615000.0,0.14514764
1776380400,6730544.0,6730544.0,6615000.0,6615000.0,0.29920941
1776384000,6615001.0,7100000.0,6615000.0,7100000.0,0.23793136
1776387600,6722327.0,7100000.0,6615000.0,6615000.0,0.67644293
1776391200,6706364.0,7100000.0,6615002.0,6721699.0,0.07835332
1776394800,6615003.0,6615003.0,6615003.0,6615003.0,0.02948465
1776398400,6706879.0,7000000.0,6705910.0,7000000.0,1.24020766
1776402000,6715323.0,6731605.0,6615009.0,6731605.0,0.56804077
1776405600,6731272.0,6900000.0,6615011.0,6900000.0,0.04755473
1776409200,6615012.0,6752419.0,6615012.0,6752419.0,0.02026255
1776412800,6752763.0,6767609.0,6615016.0,6767609.0,0.02742336
1776416400,6775211.0,6775666.0,6629353.0,6630946.0,0.04064954
1776420000,6779098.0,6779098.0,6772213.0,6772779.0,0.06678622
1776423600,6800000.0,6808443.0,6631661.0,6808443.0,0.19238225
1776427200,6735204.0,6808300.0,6735204.0,6808300.0,0.02628273
1776430800,6758238.0,6808300.0,6707393.0,6808300.0,0.02782656
1776434400,6808300.0,6900000.0,6808300.0,6900000.0,0.07793167
1776438000,6900000.0,7066868.0,6900000.0,7024645.0,0.56024332
1776441600,6913500.0,7020000.0,6882300.0,7019984.0,0.50453717
1776445200,6886322.0,6928992.0,6886322.0,6928992.0,0.21430546
1776448800,6908365.0,6950708.0,6907552.0,6950707.0,0.0804079
1776452400,6938163.0,6948987.0,6927413.0,6927413.0,0.08620676
1776456000,6999999.0,6999999.0,6999999.0,6999999.0,0.00142271
1776459600,6944832.0,6944833.0,6944832.0,6944833.0,0.05
1776463200,6944833.0,6944833.0,6944833.0,6944833.0,0.0
1776466800,7000000.0,7000000.0,6967939.0,6967939.0,0.15471071
1776470400,6967939.0,6967939.0,6967939.0,6967939.0,0.0
1776474000,6933541.0,6942575.0,6776403.0,6776403.0,0.19388909
1776477600,6921017.0,7000000.0,6776421.0,7000000.0,0.1843374
1776481200,6933367.0,6993367.0,6933367.0,6939969.0,0.007936
1776484800,6936321.0,6938232.0,6805005.0,6805005.0,3.01550589
1776488400,6901749.0,6990000.0,6805267.0,6915995.0,0.13629519
1776492000,6805999.0,6956298.0,6805999.0,6949176.0,0.02763578
1776495600,6949176.0,6990000.0,6949176.0,6990000.0,0.00565771
1776499200,6920338.0,6920338.0,6788667.0,6788669.0,0.45502892
1776502800,6909000.0,6914000.0,6754302.0,6754302.0,5.00192562
1776506400,6904005.0,6904005.0,6751993.0,6751993.0,0.0835676
1776510000,6897754.0,6897754.0,6897054.0,6897054.0,0.00426812
1776513600,6897054.0,6897054.0,6776205.0,6776205.0,0.04664279
1776517200,6776207.0,6896053.0,6747505.0,6759061.0,0.54893351
1776520800,6020100.0,6893758.0,6020100.0,6741727.0,0.46780765
1776524400,6761100.0,6778094.0,6761100.0,6778094.0,0.63698401
1776528000,6778094.0,6778094.0,6778094.0,6778094.0,0.06056552
1776531600,6883203.0,6883203.0,6880034.0,6880034.0,0.01874265
1776535200,6879165.0,6879165.0,6729321.0,6879165.0,0.01503236
1776538800,6879165.0,6879165.0,6879165.0,6879165.0,0.00289163
1776542400,6879165.0,6879165.0,6879165.0,6879165.0,0.03000407
1776546000,6879165.0,6879165.0,6879165.0,6879165.0,0.0
1776549600,6879165.0,6879165.0,6879165.0,6879165.0,0.0
1776553200,6878165.0,6905398.0,6749374.0,6898888.0,2.93407474
1776556800,6749994.0,6749994.0,6749994.0,6749994.0,0.03967569
1776560400,6749994.0,6749994.0,6749994.0,6749994.0,0.00682124
1776564000,6879165.0,6880987.0,6742916.0,6754132.0,0.42134433
1776567600,6870165.0,6870165.0,6753962.0,6753962.0,0.01305373
