ts,open,high,low,close,volume
1757328300,71329000.0,71329000.0,71270000.0,71281000.0,2.97241808
1757329200,71281000.0,71312000.0,71048000.0,71145000.0,6.8325618
1757330100,71077000.0,71150000.0,70927000.0,70927000.0,4.16677073
1757331000,70927000.0,70927000.0,70807000.0,70818000.0,6.51135058
1757331900,70885000.0,71000000.0,70818000.0,70989000.0,2.81023122
1757332800,70999000.0,71100000.0,70993000.0,71006000.0,2.41818341
1757333700,71006000.0,71076000.0,70918000.0,71076000.0,5.66918897
1757334600,71076000.0,71199000.0,71004000.0,71143000.0,5.27978466
1757335500,71144000.0,71268000.0,71144000.0,71266000.0,11.25674276
1757336400,71267000.0,71798000.0,71266000.0,71690000.0,14.24117114
1757337300,71678000.0,71750000.0,71491000.0,71499000.0,8.90186254
1757338200,71496000.0,71566000.0,71266000.0,71499000.0,15.89506758
1757339100,71450000.0,71500000.0,71200000.0,71203000.0,7.13413209
1757340000,71200000.0,71319000.0,71143000.0,71300000.0,3.2013996
1757340900,71315000.0,71352000.0,71160000.0,71351000.0,8.20976985
1757341800,71352000.0,71600000.0,71347000.0,71500000.0,3.49282838
1757342700,71500000.0,71550000.0,71339000.0,71500000.0,4.58771801
1757343600,71500000.0,71675000.0,71494000.0,71624000.0,6.18983572
1757344500,71624000.0,72000000.0,71602000.0,71922000.0,21.58808597
1757345400,71923000.0,71992000.0,71700000.0,71850000.0,15.24417188
1757346300,71850000.0,71850000.0,71714000.0,71792000.0,6.26722576
1757347200,71792000.0,71792000.0,71746000.0,71755000.0,3.92723768
1757348100,71755000.0,71755000.0,71533000.0,71745000.0,14.71552599
1757349000,71724000.0,71750000.0,71500000.0,71586000.0,2.94124982
1757349900,71586000.0,71592000.0,71329000.0,71340000.0,2.46809384
1757350800,71400000.0,71479000.0,71204000.0,71368000.0,0.81914413
1757351700,71367000.0,71499000.0,71214000.0,71376000.0,1.95163219
1757352600,71376000.0,71496000.0,71268000.0,71268000.0,1.16406975
1757353500,71268000.0,71268000.0,70900000.0,71065000.0,4.13719259
1757354400,71065000.0,71197000.0,70959000.0,71040000.0,1.38456226
1757355300,71114000.0,71298000.0,71041000.0,71298000.0,1.83911585
1757356200,71298000.0,71298000.0,71106000.0,71217000.0,0.49060056
1757357100,71158000.0,71300000.0,71158000.0,71212000.0,0.30949131
1757358000,71212000.0,71300000.0,71113000.0,71114000.0,3.1356466
1757358900,71113000.0,71117000.0,70902000.0,70902000.0,0.4448529
1757359800,70948000.0,70948000.0,70619000.0,70756000.0,4.25943252
1757360700,70747000.0,70761000.0,70640000.0,70641000.0,4.43406983
1757361600,70641000.0,70769000.0,70630000.0,70694000.0,1.59278417
1757362500,70640000.0,70682000.0,70500000.0,70505000.0,4.19148978
1757363400,70564000.0,70795000.0,70505000.0,70723000.0,2.74948732
1757364300,70722000.0,70779000.0,70627000.0,70722000.0,5.50287056
1757365200,70629000.0,70790000.0,70629000.0,70691000.0,0.44499593
1757366100,70790000.0,70865000.0,70790000.0,70864000.0,0.79701447
1757367000,70865000.0,71001000.0,70845000.0,70950000.0,1.25458749
1757367900,71022000.0,71150000.0,70867000.0,71150000.0,0.8983027
1757368800,71150000.0,71249000.0,71150000.0,71223000.0,2.75969867
1757369700,71155000.0,71179000.0,71150000.0,71178000.0,0.77582949
1757370600,71179000.0,71179000.0,71000000.0,71001000.0,2.40039742
1757371500,71001000.0,71102000.0,71001000.0,71049000.0,2.94864018
1757372400,71050000.0,71050000.0,71001000.0,71045000.0,1.20515435
1757373300,71002000.0,71046000.0,70800000.0,70901000.0,5.32907718
1757374200,70902000.0,70902000.0,70775000.0,70799000.0,1.28749595
1757375100,70776000.0,70983000.0,70776000.0,70982000.0,1.93665184
1757376000,70981000.0,70982000.0,70787000.0,70935000.0,2.51898672
1757376900,70935000.0,70982000.0,70667000.0,70672000.0,5.32709347
1757377800,70680000.0,70784000.0,70671000.0,70688000.0,3.72344011
1757378700,70688000.0,70788000.0,70673000.0,70675000.0,2.01256508
1757379600,70676000.0,70786000.0,70675000.0,70785000.0,2.28816194
1757380500,70785000.0,70785000.0,70601000.0,70638000.0,7.34540256
1757381400,70638000.0,70638000.0,70601000.0,70605000.0,5.25284641
1757382300,70604000.0,70638000.0,70604000.0,70604000.0,1.71437998
1757383200,70604000.0,70637000.0,70604000.0,70608000.0,2.59779017
1757384100,70609000.0,70609000.0,70550000.0,70607000.0,9.85690931
1757385000,70557000.0,70700000.0,70510000.0,70661000.0,3.29895419
1757385900,70651000.0,70677000.0,70500000.0,70676000.0,9.84320607
1757386800,70507000.0,70747000.0,70507000.0,70700000.0,2.33641911
1757387700,70700000.0,70747000.0,70677000.0,70691000.0,1.78101743
1757388600,70691000.0,70746000.0,70691000.0,70742000.0,1.05223813
1757389500,70743000.0,70892000.0,70700000.0,70803000.0,6.30797071
1757390400,70892000.0,70892000.0,70803000.0,70880000.0,1.23592748
1757391300,70879000.0,70949000.0,70804000.0,70916000.0,1.96972267
1757392200,70916000.0,70945000.0,70883000.0,70883000.0,1.42405583
1757393100,70883000.0,70913000.0,70883000.0,70900000.0,2.61525664
1757394000,70907000.0,70907000.0,70735000.0,70813000.0,3.47384626
1757394900,70805000.0,70813000.0,70805000.0,70809000.0,3.14440591
1757395800,70809000.0,70810000.0,70800000.0,70810000.0,1.37264971
1757396700,70805000.0,70948000.0,70804000.0,70948000.0,3.28836914
1757397600,70948000.0,71400000.0,70947000.0,71400000.0,4.61067971
1757398500,71342000.0,71499000.0,71282000.0,71400000.0,9.07327079
1757399400,71399000.0,71678000.0,71340000.0,71650000.0,18.57766107
1757400300,71650000.0,71699000.0,71650000.0,71695000.0,15.1839577
1757401200,71695000.0,71697000.0,71649000.0,71668000.0,19.29974406
1757402100,71667000.0,71955000.0,71667000.0,71777000.0,18.74193514
1757403000,71767000.0,71777000.0,71443000.0,71582000.0,9.32449315
1757403900,71582000.0,71582000.0,71524000.0,71577000.0,4.7423023
1757404800,71578000.0,71582000.0,71578000.0,71581000.0,5.19867193
1757405700,71581000.0,71582000.0,71452000.0,71580000.0,10.14385433
1757406600,71580000.0,71582000.0,71579000.0,71581000.0,8.32934202
1757407500,71581000.0,71582000.0,71536000.0,71559000.0,4.95877957
1757408400,71582000.0,71582000.0,71553000.0,71578000.0,11.97986286
1757409300,71558000.0,71700000.0,71558000.0,71684000.0,4.72133971
1757410200,71666000.0,71689000.0,71666000.0,71682000.0,4.54577058
1757411100,71682000.0,71689000.0,71564000.0,71642000.0,1.90539055
1757412000,71593000.0,71646000.0,71589000.0,71598000.0,4.34057322
1757412900,71597000.0,71645000.0,71550000.0,71550000.0,7.54561697
1757413800,71551000.0,71558000.0,71550000.0,71556000.0,10.78067742
1757414700,71557000.0,71640000.0,71556000.0,71557000.0,1.97633361
1757415600,71557000.0,71559000.0,71550000.0,71556000.0,4.13508385
1757416500,71551000.0,71556000.0,71454000.0,71555000.0,5.67810317
1757417400,71556000.0,71556000.0,71400000.0,71555000.0,1.04181976
1757418300,71556000.0,71590000.0,71503000.0,71587000.0,3.68269105
1757419200,71587000.0,71644000.0,71353000.0,71641000.0,10.20575709
1757420100,71641000.0,71849000.0,71640000.0,71825000.0,24.65493953
1757421000,71824000.0,71825000.0,71658000.0,71658000.0,4.98545043
1757421900,71665000.0,71666000.0,71600000.0,71600000.0,7.32586084
1757422800,71600000.0,71660000.0,71270000.0,71350000.0,9.24767051
1757423700,71399000.0,71468000.0,71256000.0,71468000.0,4.29665996
1757424600,71468000.0,71776000.0,71446000.0,71776000.0,2.32662007
1757425500,71774000.0,71774000.0,71529000.0,71570000.0,3.2591806
